SaleDt,Prod,Units,MRP,Amount
01-01-2023,Dell Inspiron,5,1000,5000
02-01-2023,iPhone 13,3,800,2400
03-01-2023,HP Spectre,4,1200,4800
04-01-2023,Samsung Galaxy S25,5,750,3750
05-01-2023,Apple MacBook Pro,2,1800,3600
06-01-2023,Google Pixel 8,6,850,5100
07-01-2023,Lenovo ThinkPad,5,950,4750
08-01-2023,Surface Pro,4,1100,4400
09-01-2023,Oppo Reno,3,700,2100
10-01-2023,Asus VivoBook,6,900,5400
11-01-2023,Dell XPS,4,1500,6000
12-01-2023,Samsung Note,5,850,4250
13-01-2023,Apple iPad,6,700,4200
14-01-2023,Huawei Mate,7,780,5460
15-01-2023,Microsoft Studio,5,1350,6750
16-01-2023,LG G8,4,730,2920
17-01-2023,Apple MacBook Air,6,1400,8400
18-01-2023,Google Nexus,5,600,3000
19-01-2023,HP Pavilion,7,970,6790
20-01-2023,Samsung A52,8,690,5520
21-01-2023,Apple iPhone SE,5,650,3250
22-01-2023,OnePlus Nord,6,750,4500
23-01-2023,Dell Alienware,4,2100,8400
24-01-2023,Samsung S22,5,950,4750
25-01-2023,Apple iMac,3,2200,6600
26-01-2023,Google Pixel 9,4,880,3520
27-01-2023,Lenovo Yoga,5,980,4900
28-01-2023,Surface Laptop,4,1300,5200
29-01-2023,Oppo F21,6,720,4320
30-01-2023,Asus ROG,5,2000,10000
31-01-2023,Toshiba Satellite,4,860,3440
